club,rating
Real Madrid,2080
Barcelona,2066
Atl. Madrid,2007
Ath Bilbao,1851
Sevilla,1827
Villarreal,1814
Celta Vigo,1790
Valencia,1765
Real Sociedad,1765
Malaga,1759
Betis,1718
Las Palmas,1709
Rayo Vallecano,1708
Espanyol,1703
Gijon,1700
Dep. La Coruna,1699
Granada CF,1695
Eibar,1670
Getafe,1661
Levante,1653
Leganes,1651
Osasuna,1637
Alaves,1632
Gimnastic,1619
Zaragoza,1604
Alcorcon,1600
Elche,1599
Numancia,1592
Cordoba,1589
Almeria,1587
Huesca,1573
Tenerife,1565
Valladolid,1565
Llagostera,1550
Mallorca,1546
Oviedo,1543
Lugo,1539
Mirandes,1538
Ponferradina,1521
Albacete,1473
Hercules,1595
Santander,1599
